x,y
3.80286,2.15835
5.18384,2.21139
3.15722,2.30568
5.56977,2.37613
4.11252,2.95963
5.22759,2.47502
9.94472,9.05758
10.42600,9.34248
9.51569,8.79417
9.56537,9.69809
10.70048,12.47488
9.81888,12.89544
10.05059,12.31872
10.17397,12.46869
1.97879,12.02149
2.23074,12.17201
2.28273,12.33678
3.12047,12.02783
3.07564,12.81465
2.82016,11.06252
2.09010,12.39269
1.98011,11.71146
3.05136,11.88614
2.48228,11.58790
2.26488,11.76029
4.50521,10.05926
5.51254,10.18751
3.85498,9.57584
4.53651,9.96143
3.32618,9.83324
4.48740,11.01393
4.95970,10.59382
4.59000,9.00617
4.79594,9.71785
3.50550,8.28026
5.29056,9.62716
4.08745,11.04209
2.05678,5.64941
2.61109,3.88133
2.05026,3.36917
2.17121,5.34771
2.35773,3.36655
2.54517,5.22764
2.00537,3.45663
2.63476,3.49846
2.46050,2.40341
2.14002,5.49693
2.38521,5.77051
7.96572,1.88135
11.70161,2.74175
11.47857,2.85339
10.31285,1.82572
10.10536,3.76189
10.64193,3.20996
9.44437,2.22142
11.17591,3.12553
9.60828,1.83257
0,0
14,14
0,14
14,0
