index,timestamp,id,temperature,temperature_ground,temperature_dew,humidity,airpressure
0,202010130000,1048,2.5,0.2,2.4,99.5,988.3
1,202010130010,1048,2.4,0.5,2.2,98.8,988.3
2,202010130020,1048,2.4,0.9,2.2,98.4,988.1
3,202010130030,1048,2.5,0.7,2.4,99.0,988.0
4,202010130040,1048,2.5,-0.2,2.5,100.0,988.0
5,202010130050,1048,2.4,-0.2,2.3,99.6,988.0
6,202010130100,1048,2.6,0.0,2.2,97.4,987.9
7,202010130110,1048,2.5,0.9,2.1,97.3,988.0
8,202010130120,1048,2.4,1.4,2.2,98.3,988.0
9,202010130130,1048,2.8,2.4,2.7,99.0,987.8
10,202010130140,1048,3.0,2.7,2.8,98.3,987.6
11,202010130150,1048,3.1,2.2,2.8,98.1,987.6
12,202010130200,1048,3.0,1.5,2.6,96.9,987.6
13,202010130210,1048,2.5,2.4,2.1,97.0,987.6
14,202010130220,1048,2.8,2.9,2.5,98.1,987.8
15,202010130230,1048,2.8,2.9,2.4,97.1,987.9
16,202010130240,1048,2.8,2.8,2.4,97.2,987.6
17,202010130250,1048,2.7,2.6,2.4,97.6,987.5
18,202010130300,1048,2.9,3.0,2.5,97.4,987.5
19,202010130310,1048,3.3,3.3,2.9,97.3,987.7
20,202010130320,1048,3.5,3.4,3.0,96.8,987.9
21,202010130330,1048,3.4,3.3,3.0,97.0,987.9
22,202010130340,1048,3.2,2.9,2.8,97.2,987.7
23,202010130350,1048,3.1,2.2,2.7,97.1,987.5
24,202010130400,1048,2.8,2.1,2.3,96.7,987.7
25,202010130410,1048,3.4,3.2,3.1,97.7,987.6
26,202010130420,1048,3.5,3.4,3.1,97.2,987.6
27,202010130430,1048,3.4,3.2,3.0,97.0,987.5
28,202010130440,1048,3.5,3.3,3.1,96.9,987.5
29,202010130450,1048,3.5,3.1,3.1,97.4,987.3
30,202010130500,1048,3.5,3.1,3.1,97.4,987.2
31,202010130510,1048,3.6,2.8,3.1,96.7,987.1
32,202010130520,1048,3.6,1.9,3.1,96.5,987.0
33,202010130530,1048,3.7,0.9,3.1,95.9,987.0
34,202010130540,1048,3.6,0.7,2.9,95.4,987.2
35,202010130550,1048,3.3,0.5,2.6,95.4,987.1
36,202010130600,1048,3.4,1.0,2.8,95.7,987.2
37,202010130610,1048,3.3,1.2,2.6,95.2,987.3
38,202010130620,1048,3.3,1.5,2.6,94.8,987.4
39,202010130630,1048,3.4,3.3,2.9,96.5,987.4
40,202010130640,1048,3.8,4.0,3.5,97.9,987.4
41,202010130650,1048,3.9,4.3,3.5,97.4,987.4
42,202010130700,1048,4.1,4.5,3.9,98.6,987.5
43,202010130710,1048,3.9,4.4,3.6,97.7,987.5
44,202010130720,1048,3.9,4.6,3.6,98.0,987.5
45,202010130730,1048,4.0,4.6,3.9,99.1,987.6
46,202010130740,1048,4.3,5.1,4.1,98.6,987.6
47,202010130750,1048,4.4,5.1,4.2,98.6,987.6
48,202010130800,1048,4.5,5.1,4.3,98.9,987.8
49,202010130810,1048,4.3,5.3,4.1,98.5,987.7
50,202010130820,1048,4.6,5.5,4.4,98.4,987.5
51,202010130830,1048,4.7,6.1,4.5,98.9,987.3
52,202010130840,1048,4.8,6.2,4.8,99.7,987.2
53,202010130850,1048,4.6,6.3,4.6,99.8,987.1
54,202010130900,1048,4.9,6.3,4.9,100.0,987.1
55,202010130910,1048,5.0,6.7,4.9,99.1,987.2
56,202010130920,1048,5.2,6.9,5.1,99.6,987.2
57,202010130930,1048,5.2,6.7,4.9,97.8,987.3
58,202010130940,1048,5.3,6.7,4.9,97.3,987.2
59,202010130950,1048,5.5,6.9,5.2,97.7,987.1
60,202010131000,1048,5.7,7.1,5.3,96.9,987.1
61,202010131010,1048,5.6,7.1,5.2,97.0,987.1
62,202010131020,1048,5.7,7.2,5.2,96.3,987.1
63,202010131030,1048,5.9,7.4,5.4,96.3,987.0
64,202010131040,1048,5.7,7.1,5.0,95.3,987.0
65,202010131050,1048,5.8,7.2,5.2,95.8,986.9
